Title,Location,Price,description,Links
1 bedroom basement available,Brampton,PleaseContact,"1 bedroom basement for rent only girls, main intersections MISSISSAUGA Rd and SANDALWOOD.laundry in basement, kitchen share in basement, separate side door entrance,",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1-bedroom-basement-available/1632928543
Basement apartment,City of Toronto,"$1,700.00","1 bedroom basement apartment in high desirable location in Scarborough. , separate entrance, full kitchen, full washroom & laundry,large bedroom,WiFi included,No cable TV, some furniture available. ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apartment/1632928415
1 Bedroom 1 Bath Rental in Oshawa,Oshawa,"$1,400.00",****** If this ad is still up it means that the apartment is still available ***** PLEASE READ & FOLLOW the capital letter instructions below if interested***** Beautifully newly renovated 1 bedroom ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bedroom-1-bath-rental-in-oshawa/1632925546
Woodbride!! 2-Bedroom lower level..Avail. NOW,Innisfil,"$2,100.00","Cozy two bedroom lower level newly renovated close to all amenities, Hwy 400, Schools and shopping! Great area, lovely unit 40% utilities Good Credit and proof of employment a must Call/Text Roberta ...",https://www.kijiji.ca/v-apartments-condos/barrie/woodbride-2-bedroom-lower-level-avail-now/1631583078
Legal 2 Bdrm Bsmt for rent-Oct- Humberwest/Castelmore- $2050,Mississauga / Peel Region,"$2,050.00","Available from 1st October 2022 - Call or text @ 416-550-6441 2 bedroom legal basement for rent. Ideal for a small family, working couple or working females. Located at Humberwest/Castelmore Easy ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/legal-2-bdrm-bsmt-for-rent-oct-humberwest-castelmore-2050/1632924648
Basment for rent  Markham/Steeles,Scarborough,"$1,350.00",Excellent condition 1350 good for couple or senior good No parking 1 bed room kitchen washroom living room Markham/Steeles,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basment-for-rent-markham-steeles/1632924474
Basment for rent  Markham/Steeles,Scarborough,"$1,350.00",Excellent condition 1350 good for couple or senior good No parking 1 bed room kitchen washroom living room Markham/Steeles,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basment-for-rent-markham-steeles/1632924472
Basement apartment for rent,Barrie,"$1,550.00","Freshly renovated 1 bedroom basement apartment. 7 minutes to Bayfield st. Very close to snowmobile, hiking, biking trails. Rural setting. No bus stops",https://www.kijiji.ca/v-apartments-condos/barrie/basement-apartment-for-rent/1632923403
"Brand New 2 Br Legal Basement Rent $2000 On Danby Rd, Georgetown",Brampton,"$2,000.00","Brand New 2 Bedroom, 1 Washroom Legal basement Apartment for rent $2000 Plus 30% Utilities, Primary bedroom has 3 large windows and has a 3 pcs en-suite, very good size bedrooms, Kitchen with Quartz ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/brand-new-2-br-legal-basement-rent-2000-on-danby-rd-georgetown/1632922033
2 Bedroom basement available in central Square One Mississauga,Mississauga,PleaseContact,"2 Bedroom basement available in central Square One Mississauga Well maintained 2 bedroom and 1 bathroom basement available for rental immediately. Includes a full kitchen, and separate entrance ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-basement-available-in-central-square-one-mississauga/1632918986
1BR - 675ft - Bright & Beautiful Furnished one Bedroom Basement,City of Toronto,"$1,600.00","1BR - 675ft - Bright & Beautiful Furnished one Bedroom Basement Apartment (Thornhill Woods) Bright, beautiful one bedroom furnished apartment, located in a modern model home on a quiet court in ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-675ft-bright-beautiful-furnished-one-bedroom-basement/1631092990
2 Bedrooms basement at Markham,Markham,"$1,500.00","(For single family ONLY) 2 bedrooms basement for rent, separate entrance, one Parking included, not allow pets and smoking. Absolutely no Cannabis/Marijuana allow in the house or outside. Single ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedrooms-basement-at-markham/1632917255
Basement for Rent- Brampton,Brampton,"$1,400.00",Starting at $1400 monthly. Looking for a family to occupy 1 bedroom basement located on Mountainash and Bovaird. Please text me at 647-960-2837 if interested. Thanks,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-for-rent-brampton/1632917221
4 Bedrooms basement at Markham,Markham,"$1,700.00","(For single family ONLY) 4 bedrooms basement for rent, den can use as 4th bedroom, separate entrance, one Parking included, not allow pets and smoking. Absolutely no Cannabis/Marijuana allow in the ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/4-bedrooms-basement-at-markham/1632916841
"Bright newly renovated 2bd Furnished bsmnt, Yonge+Finch+Sheppard",North York,"$2,800.00","(If you see the ad, it means it is available. No agent please) Fully furnished. A very bright and spacious newly finished basement apartment, around 1000 sqf is located in the great location of the ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-newly-renovated-2bd-furnished-bsmnt-yonge-finch-sheppard/1632914392
Basement For Rent,Oakville / Halton Region,"$1,500.00",Basement for rent in a quiet home close. One and Half Bedroom with one bathroom. Laundry is also available. Two car can park on the driveway. Basement has its own personal entry. This is close to ...,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/basement-for-rent/1632914318
1 Bedroom Basement Apartment for rent,Toronto,"$1,400.00","Fully furnished 1 Bedroom Basement unit for rent. Utilities included (Gas, Hydro, Water & Laundry), unit will be available from 1st of October 2022. Ideal for Indian working professional couple. Must ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment-for-rent/1632911940
Fully renovated 3 bedroom apartment,Toronto,"$2,700.00","Fully renovated basement for rent.high ceilings, 3 large bedrooms with closet , 2 full bathrooms, Ample kitchen big living dining area, In suite washing and drying machine. Central air and heating ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-renovated-3-bedroom-apartment/1632911391
Huge 2 BR basement in Brampton walking distance to Mt PleasantGO,Oakville / Halton Region,"$2,000.00","Well lit very spacious 2BR plus large living space and eat in kitchen. Partially furnished. Walking distance to grocery stores, library and GO Station. Separate laundry downstairs. All utilities ...",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/huge-2-br-basement-in-brampton-walking-distance-to-mt-pleasantgo/1632878227
GREAT LOCATION - 2BR basemen apt - Utilities & WiFi included,Toronto,"$1,950.00","If you see this message, the apartment is still available. If interested, please provide some information about you. Bloor and Lansdowne, 2 BR basement, great condition – 520 sq.ft. 2BR apartment in ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/great-location-2br-basemen-apt-utilities-wifi-included/1632909155
Two bedroom basement for rent in south Barrie,Letitia Heights,"$2,000.00","Nice , clean and bright basement available for rent in south Barrie from October 1st. Rent is $2000 but includes all utilities internet parking everything. Contact for more details",https://www.kijiji.ca/v-apartments-condos/barrie/two-bedroom-basement-for-rent-in-south-barrie/1632908310
MILTON 2 BDRM BASEMNT APT FOR RENT- $1700 (all inclusive),Milton,"$1,700.00","2 Bedroom + 1 Bath basement apartment available for rent from November 1st. Located in a quiet family friendly neighbourhood. Close to bus stop, parks, grocery stores, hospital and schools. Features ...",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/milton-2-bdrm-basemnt-apt-for-rent-1700-all-inclusive/1632908222
"One space available in 2 room basement, Brampton",Brampton,$465.00,One male required in sharing We are 3 guys looking for another male to share our 2 bedroom basement. Its fully furnished with all amenities . The location is close to williams pkwy and torbram. For ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/one-space-available-in-2-room-basement-brampton/1632902780
NEWLY RENOVATED SPACIOUS 1 BR SEPARATE ENTRANCE LEGAL BASEMENT,Brampton,"$1,600.00","Newly renovated spacious legal basement. Separate entrance, Huge 1BR and Living Room, Open Concept kitchen. Large stainless Steel appliances. SINGLE PROFESSIONAL PREFERRED South - West Brampton prime ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/newly-renovated-spacious-1-br-separate-entrance-legal-basement/1632905909
1 Bedroom bsmt apt for rent Ajax Nov 1,Ajax,"$1,400.00","1 bedroom basement apartment for rent in Ajax. Westney & Rossland area. Available November 1. Separate private entrance. Well lit exterior. 1 bedroom, Eat in kitchen, living room and washroom with ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bedroom-bsmt-apt-for-rent-ajax-nov-1/1632904203
Rent 2BHK bsmt in Brampton from 1st NOV $1850 Dixie and Mayfield,Brampton,"$1,850.00",New 2BHK Bsmt Rent for $1850 from 1st November in Brampton at Dixie and Mayfield Pls call 6475817874 for viewing Only serious inquiries Intersection: Dixie and Mayfield Rent - $1850 plus 30% ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/rent-2bhk-bsmt-in-brampton-from-1st-nov-1850-dixie-and-mayfield/1632903674
This is a spacious 2 bedroom basement apartment amazing location,Toronto,PleaseContact,"Comfortable private 2 bedroom basement. Minutes to the TTC, malls etc. Close to UFT Scarborough campus, Colleges and schools. Ideal for students or couples. If interested please provide a contact no ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/this-is-a-spacious-2-bedroom-basement-apartment-amazing-location/1632902581
2 BED LARGE!!!!! BASEMENT apartment <<<<<<<LEGAL>>>>>>>>>>>>>>,Oshawa,"$1,900.00",>>> WALKING DISTANCE TO EASTDALE CVS SCHOOL AND Vincent Massey PS SCHOOL << <<<<<<<<<<<<<< PET FRIENDLY>>>>>>>>>>>>>>>>>>. >>>>>>6 car parking<<>>>> >>> 24/7 NEIGHBOURHOOD WATCHHH!!!!!<<<<<<<< ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bed-large-basement-apartment-legal/1632694795
1 bedroom basement for Rent,Richmond Hill,"$1,800.00","Available from September 20, 2022 Please text 6478853614 1/3 of Utilities 1 parking spot Including wifi & apple Tv",https://www.kijiji.ca/v-apartments-condos/markham-york-region/1-bedroom-basement-for-rent/1632901767
LUXURY END UNIT TOWNHOUSE FOR RENT IN OAKVILLE (BASEMENT),Oakville,"$2,300.00",Luxury Freehold Townhouse In A Desirable Oakville Location. This Unit Is Newly Renovated And Has Never Been Lived In. This Gorgeous Unit Features A Modern Designed Kitchen With Backsplash And Quartz ...,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/luxury-end-unit-townhouse-for-rent-in-oakville-basement/1629644193
Basement for rent,Brampton,PleaseContact,"2 bedroom beautiful basement for rent.Bus stop in front of house.Walking distance to next door plaza. Sikh temple at walking distance. 2 car parking allowed.Available from 16th September, 2022",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-for-rent/1632899048
2 bedroom legal Basement for rent,Brampton,"$1,700.00",2 bedroom legal basement available for rent from 1 st October. Nice quite neighborhood all amenities are at 5 min walk. Major intersections sandalwood and chingauncy. 2 car parking available with ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-legal-basement-for-rent/1632898522
Cozy walkout basement for rent,Oakville / Halton Region,"$1,350.00",Cozy walkout basement for rent . Send me a massage i will call you back when i available or leave me a message.,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/cozy-walkout-basement-for-rent/1632898466
"BASEMENT FOR RENT - 2 BEDROOM,FULLY RENOVATED,SEPERATE ENTRANCE!",Toronto,PleaseContact,"Basement for rent near Morningside and McNicoll. Parking Available upon request, Bus Stop within a 1 minute walk. Fully renovated in 2022, working appliances including Stove, Oven, Microwave, Fridge, ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-for-rent-2-bedroom-fully-renovated-seperate-entrance/1632897693
Brand New 2Bedroom Basement available for rent@L7A0A8 Brampton,Brampton,"$1,600.00","Brand new basement, available for rent near Creditview Rd. and Wanless Dr., best suited for a small family, working couple, 2 working individuals or students Quiet and clean living environment in a ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/brand-new-2bedroom-basement-available-for-rent-l7a0a8-brampton/1632897358
"**BEAUTIFUL 1-BR bright, unique, Basement Direct Walkout Reno**",Old Toronto,"$1,995.00","This is a lovely and unique 1 Bedroom *Basement Walkout* apartment ideally suited to a quiet professional person or professional couple. Note: It is on the lower level of the house, but has a direct ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-1-br-bright-unique-basement-direct-walkout-reno/1631953233
3 Bedroom Apartment for rent in Brampton.,Mississauga / Peel Region,"$2,250.00",# 3 Bedroom Apartment for rent in Brampton - call please 416-636-7498 # $2250 +30% Utility's. Location! Location! Location!!! #Luxurious 9” fit Celling - Legal basement with # separate Entrance. #Top ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bedroom-apartment-for-rent-in-brampton/1631273118
1 bedroom basement apartment | Separate Entrance,Oakville / Halton Region,"$1,550.00","For Rent is a 1 bedroom basement inclusive of utilities (Hi Speed Internet, Hydro and Gas) in an ideally located neighbourhood within a 10 minute walk to Groceries, Scotiabank, TD, Pizza pizza, ...",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1-bedroom-basement-apartment-separate-entrance/1630791531
2 Beds 1 Bath Basement Available  Immediately,Markham / York Region,"$2,200.00","A 2 bedroom 1 washroom walk-out basement backing onto creek in Richmond Hill is available NOW. Near highway 404 and close to grocery shops, Costco, and parks. Utility is to be shared with upstairs.",https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-beds-1-bath-basement-available-immediately/1629962523
"New, Clean & Beautiful, Modern 3 Bed Markham Apartment for rent",Markham,"$2,500.00","Beautiful basement apartment, modern and very clean, located in prime location in Markham close to shopping centers, grocery stores and good schools. 5 mins away from highway 407, 15 mins away from ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/new-clean-beautiful-modern-3-bed-markham-apartment-for-rent/1631913246
1 Bedroom Basement For Rent Mississauga $1675/month,Mississauga,"$1,675.00","FOR RENT: A Beautiful, newly renovated One Bedroom Basement Apartment With a Separate Entrance. Has own kitchen, own full washroom with shower, own living room area, and 1 Bedroom. It is 700 square ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-basement-for-rent-mississauga-1675-month/1632190820
A New 2 Bedroom Basement is immediately available.,Mississauga,"$1,800.00",A large and spacious basement apartment for rent immediately. This beautiful 2- bedroom detached house basement is located in the great neighbourhood of the most desirable Mississauga location ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/a-new-2-bedroom-basement-is-immediately-available/1632893223
One bedroom basement unit available immediately,Bradford West Gwillimbury,"$1,150.00","Close to Hwy400, go-train station and shopping centers. Available immediately. The unit is newly finished and is within a new house. It includes 1 large 150sqft bedroom, 1 large kitchen (not shared), ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/one-bedroom-basement-unit-available-immediately/1632892587
Basement for rent,Brampton,PleaseContact,"3 bedroom basement available for rent from oct 01. Newly renovated basement with separate entrance from the backyard. Close to gurudwara, mcdonald, freshco, shoppers drug, bus stop and banks. ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-for-rent/1632892031
1 Bedroom Basement Apartment - Bright & Modern!,Toronto,"$1,650.00","This well-constructed basement apartment is spacious and beautiful. Located at Markham and Steeles, with bus access at the end of the street. Close to all amenities and one parking spot included on ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment-bright-modern/1632891713
NEW ALL INCLUSIVE BASEMENT FOR RENT IN SCARBOROUGH-,Toronto,"$2,199.00","NEW ALL INCLUSIVE BASEMENT FOR RENT IN SCARBOROUGH- New All Inclusive2 Bedroom Basement Apt. With Separate Entrance. Laminate Floors, Pot lights, Large windows, 3 Piece Bath, En-suite Washer and ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-all-inclusive-basement-for-rent-in-scarborough/1630927276
One Bedroom Basement Apartment,Toronto,"$1,200.00","Dufferin & St. Clair. Quiet, clean home, looking for same kind of tenant. Long term tenants on the other 3 floors. Just renovated. No pets, no smoking. Separate entrance. Short walk to everything. ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-apartment/1632870305
3 Bedroom Basement For Rent,Brampton,"$2,500.00","Absolutely Stunning Legal Basement Apartment For Lease, 3 Large Spacious Bedrooms And Two Full Washrooms. Large Windows In 2 Living rooms And 3 Bedrooms For Ample Natural Light, With Additional Lot ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bedroom-basement-for-rent/1632873711
STUDIO | 1 BATH - STUDIO APT FOR RENT - AJAX | WESTNEY RD N,Ajax,"$1,195.00","Studio | 1 Bathroom, Upgraded Kitchen, Dishwasher, Microwave, Stainless Steel Appliances, Formica Countertops, Vinyl Floors, Window Coverings, Backyard Deck, Private Terrace, Tons of Natural Light. ... 68 Delaney Drive, Ajax, Ontario L1T 2K6, Close to Kingston Road West, McCowan Station, Scarborough Centre, Westney Southbound at Delaney, Southbound at 350 Westney, Nottingham Public School, Westney Heights PS, Millers Creek Park, Betty Bujold Park,",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/studio-1-bath-studio-apt-for-rent-ajax-westney-rd-n/1626847478
1 BED | 1 BATH - BASEMENT APT FOR RENT - COURTICE,Courtice,"$1,495.00","1 Bedroom | 1 Bathroom, Upgraded Kitchen, Microwave, White Appliances, Formica Countertops, Laminate Flooring, Back Splash, Private Terrace, Backyard Deck, Tons of Natural Light. OPEN 24/7 - HAVE ... 43 Aylesworth Avenue, Courtice, Ontario L1E 3H2, Close to Highway of Heroes, Grandview Westbound at Wesley, Townline Southbound at Down, Courtice North Public School, Dr. Emily Stowe Public School, Rosswell Park, Terry Fox Park, Oshawa Centre, Townli",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bed-1-bath-basement-apt-for-rent-courtice/1629611021
1 BED | 1 BATH - BASEMENT APT FOR RENT - AJAX,Oshawa / Durham Region,"$1,495.00","1 Bedroom | 1 Bathroom, Upgraded Kitchen, Stainless Steel Appliances, Dishwasher, Stone Countertops, Carpet Floors, Ensuite Laundry. OPEN 24/7 - HAVE QUESTIONS? CALL US ANY TIME: 905-385-8150 Note: ... 27 Larner Drive, Ajax, Ontario L1T 2V1 Close to Kingston Road West, Pickering High School, Hermitage Park, Pickering Town Centre, RioCan Durham Centre, SmartCentres Pickering, Harwood Centre, Pickering Museum Village, Observation Deck, Rouge National",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bed-1-bath-basement-apt-for-rent-ajax/1625849848
1 BED+DEN | 1 BATH - BASEMENT APT FOR RENT - PICKERING,Pickering,"$1,599.00","1 Bedroom+Den | 1 Bathroom, Upgraded Kitchen, Stainless Steel Appliances, Stone Countertops, Vinyl Floors, Ensuite Laundry. OPEN 24/7 - HAVE QUESTIONS? CALL US ANY TIME: 905-385-8150 Note: The unit ... 1405 Anton Square, Pickering, Ontario L1V 5T5 Close to Kingston Road, Finch Eastbound at Forest Park Bus Stop, Pine Ridge Secondary School, David Farr Park, Pickering Town Centre, SmartCentres Pickering, Rouge National Urban Park, Toronto Zoo.",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bed-den-1-bath-basement-apt-for-rent-pickering/1630381893
Basement for Rent,Markham,"$1,800.00","Looking for a AA++ tenant for the Basement, 2 bedrooms, 2 bathrooms, open concept kitchen with living/dining, laminated floor throughout, windows in kitchen and all the bedrooms, all public schools ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/basement-for-rent/1632888982
2 Bedroom Basement for Rent,Mississauga,"$2,000.00","Eglinton & Credit view Rd Specious 2 Bedroom Basement with Huge living room and full kitchen, Dinning Room, washroom and Separate Entrance. Close to all amenities. Suitable for small family. ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-basement-for-rent/1632888021
Rental Basement 1 BR | Postal Code L6R 3R3,Brampton,PleaseContact,"Hygienic, and well lighted one large room basement good for comfortable living of up to two people. A welcoming place good for newcomer or student or a new family. Looking for educated person/family ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/rental-basement-1-br-postal-code-l6r-3r3/1632886564
Basement for rent !!,Brampton,"$1,900.00","Beautiful 2 Bedroom Legal Basement For Rent In Brampton. There Is Lots Of Bright Sunlight. There Are Many Windows, Living Room, Kitchen - Hardwood Floors - Renovated Kitchen - Renovated Washroom with ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-for-rent/1632884991
2bd basement available for rent,Mississauga,$850.00,Full basement for rent- $1700 2 rooms/$850each Newly renovated kitchen with stove and fridge Located near square one and a few bus stops within walking distance Looking for female renters or family ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2bd-basement-available-for-rent/1632883740
Huge one bedroom basement in nice area! Furnished,Oshawa,"$1,900.00","Basement apartment located in a beautiful home. One huge bedroom, small living area, kitchen, bathroom. Washer and dryer for basement use only. No shared spaces. Separate entrance off driveway at ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/huge-one-bedroom-basement-in-nice-area-furnished/1632883561
Walkout bsmt apartment for Lease,Newmarket,"$1,650.00","1 bedroom 1 washroom walkout basement apartment in Newmarket @ Bayview /Mulock. New Kitchen and appliances, ensuite new Combo washer/dryer. Large windows with lots of natural lights, walkout to the ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/walkout-bsmt-apartment-for-lease/1632883305
"New, Clean & Beautiful, Modern 3 Bed Markham Apartment for rent",Markham,"$2,500.00","Beautiful basement apartment, modern and very clean, located in prime location in Markham close to shopping centers, grocery stores and good schools. 5 mins away from highway 407, 15 mins away from ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/new-clean-beautiful-modern-3-bed-markham-apartment-for-rent/1631913246
Newly Renovated 2 Bedroom Basement Apartment for Rent in Barrie,Barrie,"$2,200.00","Newly Renovated Bright, 2 Bed, 1 bath, Full Kitchen Basement Apartment W/Separate Entrances + Separate Fenced Yard. Great Location, quiet neighbourhood. Snow removal and lawn maintenance included. ...",https://www.kijiji.ca/v-apartments-condos/barrie/newly-renovated-2-bedroom-basement-apartment-for-rent-in-barrie/1628272714
One BedroomBasement in Pickering,Pickering,"$1,400.00","Located Maple Ridge and Dixie Rd. Close to shopping Separate entrance, Gas Fireplace. Laundry in unit. One parking spot on driveway Freshly painted. Laminate flooring Lots of storage. Great quiet ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/one-bedroombasement-in-pickering/1632880973
Basement available for rent,Brampton,PleaseContact,Looking for professional females or students to rent a sharing basement in a quiet neighbour hood of Brampton. Apartment with Separate entrance. Walking distance to all amenities in the area. Main ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-available-for-rent/1632880695
2 BED | 2 BATH - BASEMENT APT FOR RENT - AJAX,Ajax,"$1,795.00","2 Bedrooms | 1.5 Bathrooms, Upgraded Kitchen, Stainless Steel Appliances, Back Splash, Dishwasher, Laminate Floors, Stone Countertops, Front Porch, Tons of Natural Light. OPEN 24/7 - HAVE QUESTIONS? ... 70 Grainger Crescent, Ajax, Ontario L1T 4Y6, Close to Highway 412, McCowan, Scarborough Centre, Harwood Southbound at Haskell, Southbound at 1750 Westney, Da Vinci Public School, Rosemary Brown Public School, Gillett Park, Imagination Park, RioCan Du",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bed-2-bath-basement-apt-for-rent-ajax/1632707311
1 BED + DEN | 1 BATH - BASEMENT APT FOR RENT - SCARBOROUGH,Scarborough,"$1,999.00","1 Bedroom + Den | 1 Bathroom, Upgraded Kitchen, Stainless Steel Appliances, Formica Countertops, Laminate Floors, Ensuite Laundry. OPEN 24/7 - HAVE QUESTIONS? CALL US ANY TIME: 905-385-8150 Note: The ... 66 Bonacres Avenue, Scarborough, Ontario M1C 3B9 Close to Highway 2A, Lawson Road at Highway 2A Overpass Bus Stop, Centennial Road Junior Public School, Morningside Crossing, Malvern Town Centre, Rouge National Urban Park, Port Union Waterfront Park,",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-den-1-bath-basement-apt-for-rent-scarborough/1632564518
